"go_id","go_name","aspect","n_pathway","n_matched","dsge","p_value","p_adj"
"GO:0007602","phototransduction","BP",27,24,0.418134582374803,0.3692,0.70002808988764
"GO:0005815","microtubule organizing center","CC",102,102,0.19864431030858,0.3695,0.700105263157895
"GO:0043647","inositol phosphate metabolic process","BP",20,20,0.461240357688576,0.3698,0.700182328190743
"GO:0045111","intermediate filament cytoskeleton","CC",38,37,0.334188169027762,0.3705,0.700678321678322
"GO:0045672","positive regulation of osteoclast differentiation","BP",26,22,0.438044843993898,0.371,0.700678321678322
"GO:0045860","positive regulation of protein kinase activity","BP",25,25,0.409782310599568,0.3711,0.700678321678322
"GO:0140367","antibacterial innate immune response","BP",22,17,0.500910824680415,0.3709,0.700678321678322
"GO:0000209","protein polyubiquitination","BP",146,143,0.16698357783697,0.3744,0.701026352288488
"GO:0005874","microtubule","CC",193,184,0.146839879304675,0.3742,0.701026352288488
"GO:0006298","mismatch repair","BP",32,25,0.409302022527796,0.3738,0.701026352288488
"GO:0017121","plasma membrane phospholipid scrambling","BP",19,19,0.470558805222432,0.3742,0.701026352288488
"GO:0030018","Z disc","CC",133,130,0.175454759048501,0.3729,0.701026352288488
"GO:0042573","retinoic acid metabolic process","BP",24,21,0.447404655393037,0.3732,0.701026352288488
"GO:0043114","regulation of vascular permeability","BP",15,15,0.532191956379246,0.3741,0.701026352288488
"GO:0048678","response to axon injury","BP",29,28,0.38629584522431,0.3733,0.701026352288488
"GO:0050728","negative regulation of inflammatory response","BP",169,111,0.190314196070195,0.3728,0.701026352288488
"GO:0061024","membrane organization","BP",32,32,0.359836418640718,0.3738,0.701026352288488
"GO:0070403","NAD+ binding","MF",20,20,0.460278282415255,0.3734,0.701026352288488
"GO:0090090","negative regulation of canonical Wnt signaling pathway","BP",137,124,0.179821394337569,0.3734,0.701026352288488
"GO:0001664","G protein-coupled receptor binding","MF",74,68,0.244027971131578,0.375,0.701663201663202
"GO:0043138","3'-5' DNA helicase activity","MF",22,19,0.469702446504605,0.3759,0.702373702422145
"GO:0048278","vesicle docking","BP",21,20,0.459599703630505,0.3758,0.702373702422145
"GO:0006882","intracellular zinc ion homeostasis","BP",34,29,0.378289749617767,0.3767,0.702410220994475
"GO:0007098","centrosome cycle","BP",46,44,0.305368507934343,0.3765,0.702410220994475
"GO:0015271","outward rectifier potassium channel activity","MF",21,20,0.459477107743805,0.3763,0.702410220994475
"GO:0000242","pericentriolar material","CC",23,23,0.42684290324904,0.3781,0.703450413223141
"GO:0007031","peroxisome organization","BP",19,19,0.469182172163119,0.3776,0.703450413223141
"GO:0009395","phospholipid catabolic process","BP",17,16,0.516121548013584,0.378,0.703450413223141
"GO:2001238","positive regulation of extrinsic apoptotic signaling pathway","BP",36,33,0.354201169837688,0.3783,0.703450413223141
"GO:0015630","microtubule cytoskeleton","CC",218,206,0.138623570187393,0.3793,0.704824501032347
"GO:1901135","carbohydrate derivative metabolic process","BP",28,28,0.384969563060891,0.38,0.705639614855571
"GO:0006699","bile acid biosynthetic process","BP",26,25,0.408227697967864,0.3807,0.706324435318275
"GO:0015813","L-glutamate transmembrane transport","BP",23,21,0.44560196529389,0.3815,0.706324435318275
"GO:0030667","secretory granule membrane","CC",102,99,0.201221949135406,0.3821,0.706324435318275
"GO:0032993","protein-DNA complex","CC",48,47,0.294454326585634,0.3815,0.706324435318275
"GO:0043113","receptor clustering","BP",21,21,0.445672134787892,0.3812,0.706324435318275
"GO:1901223","negative regulation of non-canonical NF-kappaB signal transduction","BP",43,29,0.377285948764299,0.382,0.706324435318275
"GO:1902532","negative regulation of intracellular signal transduction","BP",21,16,0.514645728004435,0.3822,0.706324435318275
"GO:0004364","glutathione transferase activity","MF",30,25,0.407889463683072,0.3825,0.706395348837209
"GO:0045926","negative regulation of growth","BP",18,15,0.529543841062427,0.3828,0.706466165413534
"GO:0005245","voltage-gated calcium channel activity","MF",60,42,0.311897793395256,0.3867,0.712203274215553
"GO:0046329","negative regulation of JNK cascade","BP",31,30,0.369883512005561,0.3867,0.712203274215553
"GO:0060048","cardiac muscle contraction","BP",34,31,0.364307068325472,0.3867,0.712203274215553
"GO:0006488","dolichol-linked oligosaccharide biosynthetic process","BP",18,18,0.482993402992677,0.3873,0.71233651226158
"GO:0046982","protein heterodimerization activity","MF",336,299,0.11450425014675,0.3872,0.71233651226158
"GO:0098574","cytoplasmic side of lysosomal membrane","CC",16,15,0.527893498029602,0.388,0.713138189244384
"GO:0008143","poly(A) binding","MF",26,25,0.406256104235942,0.3899,0.715536684782609
"GO:0032930","positive regulation of superoxide anion generation","BP",21,20,0.456605618311421,0.3897,0.715536684782609
"GO:0048487","beta-tubulin binding","MF",44,42,0.311418569580623,0.3901,0.715536684782609
"GO:0007007","inner mitochondrial membrane organization","BP",20,19,0.466116331179793,0.3917,0.717983706720978
"GO:1902494","catalytic complex","CC",21,19,0.466027729980687,0.3924,0.718778833107191
"GO:0015721","bile acid and bile salt transport","BP",36,34,0.346288472995469,0.3929,0.719206779661017
"GO:0140374","antiviral innate immune response","BP",76,72,0.236142277278173,0.3933,0.719451219512195
"GO:0045178","basal part of cell","CC",16,15,0.526127352577561,0.3945,0.720730223123732
"GO:0050921","positive regulation of chemotaxis","BP",19,19,0.465285527900981,0.3948,0.720730223123732
"GO:1902004","positive regulation of amyloid-beta formation","BP",23,20,0.455403417252728,0.3948,0.720730223123732
"GO:0032008","positive regulation of TOR signaling","BP",39,36,0.335558923930108,0.3976,0.724861580013504
"GO:1900017","positive regulation of cytokine production involved in inflammatory response","BP",40,29,0.374668276414925,0.3976,0.724861580013504
"GO:0004693","cyclin-dependent protein serine/threonine kinase activity","MF",58,30,0.367544423151144,0.4007,0.728545454545454
"GO:0006103","2-oxoglutarate metabolic process","BP",17,15,0.523942808130139,0.4,0.728545454545454
"GO:0050908","detection of light stimulus involved in visual perception","BP",17,16,0.509059816829439,0.4006,0.728545454545454
"GO:0098974","postsynaptic actin cytoskeleton organization","BP",19,17,0.492515467851259,0.4004,0.728545454545454
"GO:0030695","GTPase regulator activity","MF",25,25,0.403932378379859,0.4013,0.72914535666218
"GO:0001889","liver development","BP",54,49,0.285811490855314,0.4027,0.730214909335124
"GO:0030496","midbody","CC",178,173,0.150961610513626,0.4022,0.730214909335124
"GO:0045820","negative regulation of glycolytic process","BP",16,15,0.523261323310977,0.4027,0.730214909335124
"GO:0015297","antiporter activity","MF",58,38,0.326084378760951,0.4036,0.731355704697987
"GO:0005921","gap junction","CC",28,27,0.386913460449803,0.4048,0.731927710843374
"GO:0010494","cytoplasmic stress granule","CC",101,97,0.201908331875776,0.405,0.731927710843374
"GO:0030017","sarcomere","CC",63,58,0.262545369065539,0.4046,0.731927710843374
"GO:0097602","cullin family protein binding","MF",25,25,0.4033688887664,0.4044,0.731927710843374
"GO:0003755","peptidyl-prolyl cis-trans isomerase activity","MF",45,41,0.312958687766809,0.4066,0.734320905459387
"GO:0004867","serine-type endopeptidase inhibitor activity","MF",89,79,0.223965212595789,0.4085,0.734320905459387
"GO:0006744","ubiquinone biosynthetic process","BP",18,17,0.490484190882031,0.4077,0.734320905459387
