"gene","log2FoldChange","AveExpr","t","pvalue","padj"
"FAM219B",-0.662657508282027,2.66894807336177,-5.95801171113684,0.00017082630588792,0.0110764503658178
"IGSF10",-0.678515826687528,0.489367820231654,-5.94869064435735,0.000172889886803413,0.0111509403181672
"MOCS1",-0.756581329429961,0.522652378590129,-5.92876748337807,0.000177391553913046,0.011381068643158
"CD3G",-0.567579657255454,0.367855286000751,-5.92331873178044,0.00017864465044552,0.0114014570101093
"GABRG1",1.10744844950887,0.657832682192238,5.91600905332144,0.000180340765517252,0.0114497600607047
"FCHSD2",-0.469960064912728,2.331796368428,-5.91076219345714,0.000181568954696307,0.0114680080712331
"PCTP",-1.2200607922261,4.20819854236123,-5.89696596525649,0.000184841717702836,0.0115932936551962
"NIPAL3",-0.586264518414962,2.43697583186803,-5.89441149455275,0.000185454656502319,0.0115932936551962
"SYNJ2BP",-0.925016927974742,0.446784400661009,-5.88243339010969,0.000188358205873441,0.0117004533030598
"DIRAS3",1.12473026376018,0.628125822726194,5.87689979145012,0.000189716126491096,0.0117004533030598
"PTX3",0.535049458863727,0.173536415441029,5.87555235409633,0.000190048380148141,0.0117004533030598
"BAZ1A",0.645815978553069,4.42705765652306,5.8689436218464,0.000191687100272954,0.0117420389564186
"PIK3CD",-0.789676424281578,2.39003425604982,-5.84970582825017,0.000196544847807935,0.0119794084738937
"DBT",-0.561169396952042,1.67514364640966,-5.83806026145989,0.000199549959326565,0.0121020597223424
"NUBPL",0.524611435674128,2.22142333094288,5.83331041608852,0.000200789859223729,0.0121169721977092
"ZNF98",1.54676511339631,0.526552987860788,5.82591926375073,0.000202735820447968,0.0121298883531268
"LYSMD4",-0.716858064145702,0.557369492127935,-5.82494429243003,0.000202994029863649,0.0121298883531268
"CD37",-2.20265364591251,1.34947996076672,-5.82026086851157,0.000204239337702813,0.0121447684224258
"RNF144A",-1.5271901681036,1.85384168472831,-5.81611307527897,0.000205349111909334,0.0121514838552174
"FCGBP",0.507372238661401,0.1988427562407,5.79840266577126,0.000210161452246948,0.0122910351232681
"RSL24D1",-0.945254282231296,6.65259144462965,-5.79710247170398,0.000210519512169435,0.0122910351232681
"GABRA2",1.2642209844915,0.416569002713108,5.79633104064645,0.000210732267494917,0.0122910351232681
"LAPTM4A",-0.774146586337712,4.69606041615779,-5.78804520634702,0.000213032135032671,0.0123514843218653
"GPSM3",-0.696753186691925,1.0598634211386,-5.78509473499925,0.000213857615793951,0.0123514843218653
"SULT1A1",-1.00115809294334,2.35970292304712,-5.78171151260406,0.000214808422988961,0.0123514843218653
"NEK2",-0.432521183485588,5.07473891871329,-5.77336679886576,0.000217173149949358,0.0124288295675243
"CPNE2",-1.36589553659748,1.61904839311787,-5.76851503379448,0.000218560949757126,0.0124498036333615
"WNK2",1.73609124098747,1.11981366246235,5.75820394766967,0.000221542224664154,0.0125609289239816
"MYO3B",-0.835343948234574,0.492520660997968,-5.74683763395285,0.000224879535553799,0.0126911182333371
"C15orf65",-0.613101932394345,1.21329194061649,-5.73606565906816,0.000228092452939359,0.0128131198218008
"SPATA13",0.518488767353481,0.201484390576328,5.73049546193116,0.000229773253776033,0.0128483301079351
"DLG3",-0.729956913297622,1.27280465188708,-5.71204097439377,0.000235438037673162,0.0131049757042733
"PIAS1",-0.637275062191913,3.78668191999087,-5.70278897739125,0.000238334572230463,0.013205901979497
"ZNF770",-0.64102769254801,4.20669088199239,-5.67147531284348,0.000248426710962766,0.0137028126997109
"IL23A",-0.921116112353429,0.868176851727779,-5.63539523709998,0.00026062976014445,0.014272543966713
"CPSF2",0.548718695474721,4.66738254121459,5.6340490519046,0.000261097399883264,0.014272543966713
"ARIH1",-0.702761751217738,3.71982620218253,-5.62603298949944,0.000263900828573049,0.0143613888406494
"SKA2",-0.558302791617846,4.58565920460884,-5.61612190634656,0.000267411939879992,0.0144827277631365
"IGF2BP2",0.568435593936614,4.88399847606379,5.61306035312374,0.000268506683713605,0.0144827277631365
"PPP4R3A",0.455030068399228,4.14839490408155,5.59378068746151,0.000275512628546293,0.0147951495241379
"PRR9",0.624655907489867,0.266810294720777,5.58888884973217,0.000277321416909591,0.0148054899758322
"SESN1",-0.639071571485377,2.27194786302525,-5.58670158915168,0.00027813430717519,0.0148054899758322
"FUT8",1.23455087380865,1.67187494738215,5.5627307356352,0.000287213230672982,0.015222301225668
"PRKAR2B",-0.829729975663026,6.23597125456692,-5.55383768619338,0.000290662236394637,0.0153384097906954
"COPS2",-0.908778963366065,5.02135568246884,-5.54638864559182,0.000293585557666757,0.0154258963274042
"IQGAP1",-0.696919678741181,4.48838624331214,-5.53949742901496,0.000296318183272444,0.0155026551677729
"CHURC1",0.534526243078329,2.55539768462558,5.53296042689776,0.00029893568560272,0.0155727607157998
"RTN2",-0.980005107823445,2.36282785065347,-5.51870879865086,0.000304728967999258,0.0158070047655785
"NR5A1",1.45011592684586,0.849904660203727,5.50845995049709,0.000308969823954542,0.0159284904008302
"S100A6",-2.38629816080468,3.25049377693662,-5.50541194918369,0.000310243281489175,0.0159284904008302
"FBXL17",-0.57915656662832,0.763875208839976,-5.50362848456644,0.000310991034897259,0.0159284904008302
"MAN2A2",-0.630987293424328,4.08086904861919,-5.49358506694428,0.00031523834045274,0.0160784743519619
"ALAD",-1.0705732156974,2.43495140068529,-5.48151016164388,0.000320427614323907,0.0162750525775351
"IREB2",-0.569588300170584,4.38888448692777,-5.47491934527444,0.000323298802491931,0.0163527485575794
"CACNA1I",0.416711446955683,0.513292046534307,5.46669596030867,0.000326920092811447,0.01636451528126
"ANKRD46",-0.561487894922059,2.48110840642411,-5.46450881854574,0.000327890567904698,0.01636451528126
"HOXA5",0.386542955145538,0.0966357387863846,5.46157255944292,0.000329198319681525,0.01636451528126
"ACAP1",-0.543077836356555,0.850114621260617,-5.45940192410565,0.000330168686945944,0.01636451528126
"CYB5R2",-1.95291756487428,1.41425318422182,-5.45923440154047,0.000330243704609512,0.01636451528126
"RCN2",-0.61143122910128,4.34930892411148,-5.45176951648829,0.000333605223097761,0.016464160605513
"PRR16",1.68323725683037,1.63379163135903,5.44496248715795,0.000336702620303998,0.0164765579342982
"CDH18",1.20512392775261,1.41778684835689,5.44218193243782,0.000337976745754597,0.0164765579342982
"MAGED1",-3.47284604945012,2.58343686527183,-5.44139170605094,0.000338339795118171,0.0164765579342982
"RAB38",-0.57679116994982,0.615587906639187,-5.43938631609426,0.000339263005866189,0.0164765579342982
"ZNF106",-0.678792733092972,3.55495201886096,-5.42750180315246,0.000344790158025969,0.0166165514176174
"AGL",-0.766178954816868,2.96400228655429,-5.42541760904179,0.000345769406393289,0.0166165514176174
"ZNF229",0.872978322040845,0.754378797364535,5.42442898732174,0.00034623495160581,0.0166165514176174
"PRAF2",-0.677929756845283,0.752773734412383,-5.40449711599727,0.000355766264689479,0.0170070226139794
"STYX",0.597981081708724,3.04610117341948,5.39086647256295,0.00036244670379504,0.0172586926533654
"KCNH5",0.502706916344356,0.397320654424393,5.38126144704903,0.000367235163909664,0.0173800236357967
"SENP8",-0.580062310108851,1.079332033314,-5.3800453393494,0.000367846275474615,0.0173800236357967
"CDC42BPB",0.525242586886326,2.61370559851307,5.34883538376532,0.00038390997195148,0.0180689674057473
"BMX",-0.780197264566788,0.556514399136404,-5.33454209896522,0.000391517114474692,0.0183561293286404
"STRA6",0.766843625601941,1.05755372487053,5.32250496910569,0.000398049242061861,0.0185908822250348
"AREG",0.968639409005285,1.48514994010862,5.30678999304553,0.000406754099338406,0.0189249330951724
"VENTX",0.876760035426475,0.983747261566027,5.28897145316122,0.000416872384775776,0.0192455704873695
"MKRN1",-0.43305362709236,4.82680040494561,-5.28712486904414,0.000417936337889009,0.0192455704873695
"HACD3",-0.857883234593847,5.46715455604272,-5.2845163374902,0.00041944428084444,0.0192455704873695
"HSPG2",-0.89142193436531,2.70967959655881,-5.28362520467173,0.00041996076699264,0.0192455704873695
"PURA",-0.423154735371435,2.84771888751826,-5.27949507364377,0.000422363464252265,0.0192831858772851
